n,t_s,nivel_pp,distancia_cm
669,33,0,50
679,34,3,50
689,34,7,50
699,35,0,50
709,35,0,50
719,36,0,50
729,36,3,50
739,37,0,50
749,37,0,50
759,38,7,50
769,38,9,50
779,39,0,50
789,39,5,50
799,40,2,50
809,40,0,50
