n,t_s,nivel_pp,distancia_cm
409,20,15,50
419,21,4,50
429,21,16,50
439,22,17,50
449,22,16,50
459,23,11,50
469,23,1,50
479,24,5,50
489,24,7,50
499,25,16,50
509,25,5,50
519,26,21,50
529,26,16,50
539,27,22,50
549,27,16,50
